periodsEnd,runs,printPeriodData,printEveryNPeriods,dataTakingForm
10000,100,0,1,0
Marker,N,bmean,bstdev,econInt,burStr,burFear,Mean_Percent_Acting,StDev_Percent_Acting,Mean_Eq_Percent_Acting,StDev_Eq_Percent_Acting,Mean_Time_to_Equilibrium,StDev_Time_to_Equilibrium,Mean_%_Population_Who_Are_Rabble-Rousers,StDev_%_Population_Who_Are_Rabble-Rousers
1,1000.0,0.6,0.2,0.0,0.0,0.0,0.9816500000000007,0.1291184074069732,0.9816500000000007,0.1291184074069732,59.08000000000002,1.6677572189662804,0.023279999999999995,0.00506539058890643
2,1000.0,0.6,0.2,0.0,0.0,0.0,0.9999900000000007,0.00010000000000000033,0.9999900000000007,0.00010000000000000033,57.83000000000003,1.1464041278024193,0.022859999999999995,0.0049380403425085964
3,1000.0,0.6,0.2,0.0,0.0,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,57.060000000000024,0.8506681865665164,0.02279,0.005029800084385949
4,1000.0,0.6,0.2,0.0,0.0,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,56.48000000000004,0.6432242017658961,0.02171,0.004678113666291947
5,1000.0,0.6,0.2,0.0,0.0,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,56.01000000000004,0.594503442743895,0.021779999999999997,0.004650578328324207
6,1000.0,0.6,0.2,0.0,0.0,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,55.77,0.5290548080293663,0.022449999999999994,0.004358609267584643
7,1000.0,0.6,0.2,0.0,0.0,0.0,0.9999900000000007,0.00010000000000000022,0.9999900000000007,0.00010000000000000022,55.33999999999996,0.4968588198559896,0.022620000000000005,0.004242116871982144
8,1000.0,0.6,0.2,0.0,0.0,0.0,0.9999900000000007,0.00010000000000000022,0.9999900000000007,0.00010000000000000022,55.06999999999993,0.3258245174347938,0.022549999999999987,0.004344682108769597
9,1000.0,0.6,0.2,0.0,0.0,0.0,0.9999600000000007,0.00019694638556693229,0.9999600000000007,0.00019694638556693229,54.999999999999936,0.3178208630818641,0.022539999999999994,0.004475342095157291
10,1000.0,0.6,0.2,0.0,0.0,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,54.92999999999993,0.43239992711573955,0.022259999999999995,0.00529459415562017
